turma,turno,computador,motivacao,cursou,cursar,escolha1,escolha2
2C,Manhã,Sim,"Tenho interesse na área, gosto muito de programação e acho que eu me daria bem com python",NÃO,Sim,Quartas das 19h as 20h,
2C,Manhã,Sim,"Tenho muito interesse em conhecer mais sobre IA, e o fato de ser uma área que vem crescendo muito atualmente, acaba me dando motivação para me aprofundar em conteúdos relacionados a isso",SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2C,Noite,Sim,Eu quero aprender para que eu possa ter mais conhecimentos nas área da Informática ,NÃO,Sim,Terças das 20h00 as 21H00,
3I,Tarde,Sim,"é o futuro, sempre tive interesse de aprender esse assunto ",NÃO,Sim,Terças das 20h00 as 21H00,
2I,Tarde,Sim,tenho interesse em aprender coisas novas ,NÃO,Sim,Terças das 20h00 as 21H00,
2B,Manhã,Sim,"Ano passado entrei no curso e infelizmente não pude chegar ao fim. Mesmo não sendo boa em informática, considero um assunto muito interessante e importante, tanto com maiores oportunidades no mercado de trabalho, quanto no meio acadêmico ",NÃO,Sim,Quartas das 19h as 20h,
2A,Manhã,Sim,Acho um curso interessante e bom para o currículo ,NÃO,Sim,Quartas das 19h as 20h,
2B,Manhã,Sim,"Quero entender mais sobre a tecnologia para me tornar um melhor profissional para o mercado de trabalho, além de me interessa pela área por isso estou optando por realizar esse curso.",SIM,,,"Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python), Visão Computacional - Quintas das 19h as 20h (Obrigatório ter feito o curso de Introdução ao Python)"
2C,Manhã,Sim,"Sempre quis começar a entender como funciona e aprender, é um meio que me interesso muito",NÃO,Sim,Terças das 20h00 as 21H00,
1A,Manhã,Sim,"Melhorar meu currículo, me aprofundar e qualificar na área.",NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,"A atualidade. É sempre bom estar atualizado com as novas tendências e o que o mercado de trabalho exige, o que é o caso da inteligência artificial, outro fator é a ampliação dos meus conhecimentos, tanto na área profissional como pessoal também. ",NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Não,Atender melhor as demandas da empresa e conhecer um pouco mais sobre as aulas e o curso,NÃO,Sim,Quartas das 19h as 20h,
3B,Manhã,Não,Quero me integrar ao mercado de trabalho e isso me ajudará bastante.,NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,é uma área da qual eu sempre tive vontade de aprender sobre ,NÃO,Sim,Quartas das 19h as 20h,
1B,Manhã,Sim,Adquirir mais conhecimento,NÃO,Sim,Quartas das 19h as 20h,
3I,Tarde,Não,"Eu gostaria muito de aprender mais sobre tecnologia, já que o que eu entendo fica muito limitado à redes sociais e nada muito no computador.",NÃO,Sim,Terças das 20h00 as 21H00,
1A,Manhã,Sim,Adquirir mais conhecimento,NÃO,Sim,Terças das 20h00 as 21H00,
1I,Tarde,Sim,"Estou muito motivada para aprender Inteligência Artificial, pois todo o conhecimento que irei adquirir nesse curso vai acrescentar na minha vida, tanto na área acadêmica como na área profissional !",NÃO,Sim,Terças das 20h00 as 21H00,
1B,"Manhã, Noite",Sim,Capacitação no ambiente profissional,NÃO,Sim,Quartas das 19h as 20h,
2A,Manhã,Sim,Mercado de trabalho,NÃO,Sim,Terças das 20h00 as 21H00,
1C,Manhã,Sim,Por curiosidade nessa área específica ,NÃO,Sim,Quartas das 19h as 20h,
3A,Manhã,Sim,"Ficar por dentro do mercado de trabalho, pois é uma área que está em alta, e por interesse de aprender a programar",NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,"Tenho curiosidade sobre o assunto, é algo que tenho vontade de aprender. Além de ser muito vantajoso para mim no futuro.",NÃO,Sim,Quartas das 19h as 20h,
